CoC Number,CoC Name,Count Types,Year,Sheltered Total Homeless,Sheltered Total Homeless - Under 18,Sheltered Total Homeless - Age 18 to 24,Sheltered Total Homeless - Over 24,Sheltered Total Homeless - Female,Sheltered Total Homeless - Male,Sheltered Total Homeless - Transgender,Sheltered Total Homeless - Gender that is not Singularly Female or Male,Sheltered Total Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Sheltered Total Homeless - Hispanic/Latin(o)(a)(x),Sheltered Total Homeless - White,"Sheltered Total Homeless - Black, African American, or African",Sheltered Total Homeless - Asian or Asian American,"Sheltered Total Homeless - American Indian, Alaska Native, or Indigenous",Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander,Sheltered Total Homeless - Multiple Races,Unsheltered Homeless,Unsheltered Homeless - Under 18,Unsheltered Homeless - Age 18 to 24,Unsheltered Homeless - Over 24,Unsheltered Homeless - Female,Unsheltered Homeless - Male,Unsheltered Homeless - Transgender,Unsheltered Homeless - Gender that is not Singularly Female or Male,Unsheltered Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Unsheltered Homeless - Hispanic/Latin(o)(a)(x),Unsheltered Homeless - White,"Unsheltered Homeless - Black, African American, or African",Unsheltered Homeless - Asian or Asian American,"Unsheltered Homeless - American Indian, Alaska Native, or Indigenous",Unsheltered Homeless - Native Hawaiian or Other Pacific Islander,Unsheltered Homeless - Multiple Races,Sheltered Total Homeless - Gender Questioning,Unsheltered Homeless - Gender Questioning
IL-504,Madison County CoC,Sheltered and Unsheltered Count,2017,155,70,14,71,77,78,0,0,154,1,65,80,0,2,0,8,21,1,0,20,6,15,0,0,21,0,15,5,0,0,0,1,,
IL-506,"Joliet, Bolingbrook/Will County CoC",Sheltered and Unsheltered Count,2017,251,65,15,171,98,153,0,0,210,41,145,100,2,0,0,4,31,0,2,29,5,26,0,0,28,3,22,5,2,1,0,1,,
IL-507,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",Sheltered and Unsheltered Count,2017,293,55,19,219,121,172,0,0,280,13,158,105,4,2,1,23,36,0,9,27,12,24,0,0,36,0,19,12,1,0,1,3,,
IL-508,"East St. Louis, Belleville/St. Clair County CoC",Sheltered and Unsheltered Count,2017,154,63,14,77,82,72,0,0,152,2,30,120,0,0,0,4,146,16,3,127,47,99,0,0,146,0,38,108,0,0,0,0,,
IL-510,Chicago CoC,Sheltered and Unsheltered Count,2017,4096,1203,456,2437,1863,2218,12,3,3653,443,801,3101,24,26,14,130,1561,4,63,1494,261,1299,1,0,1466,95,361,1184,9,0,0,7,,
IL-511,Cook County CoC,Sheltered and Unsheltered Count,2017,688,171,63,454,327,361,0,0,629,59,292,356,9,4,1,26,92,1,6,85,28,64,0,0,82,10,61,29,0,0,0,2,,
IL-512,Bloomington/Central Illinois CoC,Sheltered and Unsheltered Count,2017,392,96,48,248,208,184,0,0,349,43,224,168,0,0,0,0,41,11,3,27,18,23,0,0,41,0,21,20,0,0,0,0,,
IL-513,Springfield/Sangamon County CoC,Sheltered and Unsheltered Count,2017,219,39,11,169,70,144,5,0,215,4,113,96,0,1,0,9,11,0,0,11,2,9,0,0,10,1,7,4,0,0,0,0,,
IL-514,DuPage County CoC,Sheltered and Unsheltered Count,2017,316,83,61,172,151,161,3,1,279,37,170,126,14,2,0,4,15,0,0,15,3,12,0,0,15,0,13,1,0,0,0,1,,
IL-515,South Central Illinois CoC,Sheltered and Unsheltered Count,2017,76,35,5,36,39,36,1,0,68,8,66,8,0,2,0,0,32,6,4,22,9,23,0,0,32,0,31,1,0,0,0,0,,
IL-516,Decatur/Macon County CoC,Sheltered and Unsheltered Count,2017,114,14,7,93,29,85,0,0,112,2,51,58,0,0,0,5,16,0,0,16,0,16,0,0,16,0,6,8,0,2,0,0,,
IL-517,"Aurora, Elgin/Kane County CoC",Sheltered and Unsheltered Count,2017,335,62,19,254,118,216,1,0,257,78,201,114,3,6,0,11,25,0,0,25,3,22,0,0,16,9,21,3,1,0,0,0,,
IL-518,"Rock Island, Moline/Northwestern Illinois CoC",Sheltered and Unsheltered Count,2017,234,67,42,125,106,128,0,0,212,22,131,93,0,3,2,5,9,0,1,8,6,3,0,0,9,0,9,0,0,0,0,0,,
IL-519,West Central Illinois CoC,Sheltered and Unsheltered Count,2017,80,22,6,52,44,36,0,0,78,2,60,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
IL-520,Southern Illinois CoC,Sheltered and Unsheltered Count,2017,298,82,98,118,148,146,4,0,238,60,211,49,1,2,0,35,137,30,57,50,52,83,2,0,124,13,103,13,0,0,0,21,,
IN-502,Indiana Balance of State CoC,Sheltered and Unsheltered Count,2017,3212,843,234,2135,1478,1734,0,0,3062,150,2115,903,15,29,16,134,443,17,32,394,125,316,2,0,429,14,351,74,0,3,4,11,,
IN-503,Indianapolis CoC,Sheltered and Unsheltered Count,2017,1657,317,79,1261,567,1085,5,0,1591,66,737,860,14,8,0,38,126,0,10,116,34,91,1,0,123,3,80,40,1,4,0,1,,
KS-502,Wichita/Sedgwick County CoC,Sheltered and Unsheltered Count,2017,464,118,30,316,165,298,0,1,357,107,289,143,4,16,2,10,111,0,6,105,14,97,0,0,93,18,78,15,0,9,1,8,,
KS-503,Topeka/Shawnee County CoC,Sheltered and Unsheltered Count,2017,322,69,6,247,137,185,0,0,288,34,185,82,0,21,0,34,34,0,0,34,7,27,0,0,34,0,29,1,0,1,0,3,,
KS-505,"Overland Park, Shawnee/Johnson County CoC",Sheltered and Unsheltered Count,2017,113,62,8,43,69,44,0,0,81,32,58,39,3,1,0,12,17,0,6,11,7,10,0,0,17,0,15,1,0,0,0,1,,
KS-507,Kansas Balance of State CoC,Sheltered and Unsheltered Count,2017,895,272,51,572,424,470,1,0,783,112,666,114,1,50,2,62,142,0,11,131,39,103,0,0,130,12,116,10,2,0,6,8,,
KY-500,Kentucky Balance of State CoC,Sheltered and Unsheltered Count,2017,1415,324,137,954,679,733,3,0,1380,35,1130,202,5,4,2,72,525,44,63,418,188,335,2,0,517,8,489,23,0,4,0,9,,
KY-501,Louisville-Jefferson County CoC,Sheltered and Unsheltered Count,2017,883,177,56,650,301,580,2,0,857,26,364,458,9,6,0,46,151,2,4,145,27,124,0,0,150,1,79,65,0,0,0,7,,
KY-502,Lexington-Fayette County CoC,Sheltered and Unsheltered Count,2017,1000,69,57,874,301,697,2,0,962,38,728,254,2,2,0,14,51,0,14,37,13,38,0,0,51,0,39,7,2,2,0,1,,
LA-500,Lafayette/Acadiana CoC,Sheltered and Unsheltered Count,2017,261,76,8,177,112,148,1,0,235,26,93,155,0,1,1,11,96,11,3,82,29,67,0,0,95,1,42,52,0,0,0,2,,
LA-502,"Shreveport, Bossier/Northwest Louisiana CoC",Sheltered and Unsheltered Count,2017,302,69,14,219,107,195,0,0,291,11,90,187,1,3,0,21,47,0,0,47,10,37,0,0,47,0,18,29,0,0,0,0,,
LA-503,New Orleans/Jefferson Parish CoC,Sheltered and Unsheltered Count,2017,776,93,98,585,233,538,5,0,754,22,238,526,4,3,5,0,525,4,30,491,108,410,4,3,504,21,218,291,1,10,5,0,,
LA-505,Monroe/Northeast Louisiana CoC,Sheltered and Unsheltered Count,2017,160,71,19,70,93,66,0,1,158,2,43,113,1,0,0,3,25,0,3,22,5,20,0,0,25,0,4,20,0,1,0,0,,
LA-506,Slidell/Southeast Louisiana CoC,Sheltered and Unsheltered Count,2017,159,16,10,133,27,132,0,0,154,5,102,46,2,1,0,8,89,21,8,60,39,50,0,0,88,1,50,37,0,0,0,2,,
LA-507,Alexandria/Central Louisiana CoC,Sheltered and Unsheltered Count,2017,98,19,2,77,52,46,0,0,98,0,58,34,0,0,0,6,61,0,3,58,14,46,1,0,61,0,30,31,0,0,0,0,,
LA-509,Louisiana Balance of State CoC,Sheltered and Unsheltered Count,2017,574,144,31,399,200,371,3,0,565,9,225,330,3,7,0,9,132,3,9,120,25,107,0,0,128,4,56,70,0,2,0,4,,
MA-500,Boston CoC,Sheltered and Unsheltered Count,2017,5949,2017,477,3455,2875,3064,10,0,3645,2304,2068,2728,53,20,38,1042,186,0,7,179,40,145,1,0,151,35,130,35,2,1,0,18,,
MA-502,Lynn CoC,Sheltered and Unsheltered Count,2017,531,160,67,304,267,262,1,1,453,78,455,67,0,3,2,4,51,2,4,45,13,37,1,0,48,3,27,23,0,1,0,0,,
MA-503,Cape Cod Islands CoC,Sheltered and Unsheltered Count,2017,285,101,25,159,150,135,0,0,255,30,210,61,3,2,2,7,39,0,7,32,8,31,0,0,38,1,31,4,0,3,0,1,,
MA-504,Springfield/Hampden County CoC,Sheltered and Unsheltered Count,2017,2258,1175,225,858,1178,1080,0,0,880,1378,1747,458,12,7,5,29,53,0,10,43,24,29,0,0,29,24,47,4,0,0,0,2,,
MA-505,New Bedford CoC,Sheltered and Unsheltered Count,2017,303,98,23,182,163,140,0,0,187,116,195,81,0,3,4,20,49,0,2,47,11,38,0,0,48,1,29,8,0,1,0,11,,
MA-506,Worcester City & County CoC,Sheltered and Unsheltered Count,2017,1371,558,149,664,656,714,1,0,819,552,964,361,15,1,1,29,136,6,7,123,49,86,1,0,96,40,109,20,0,0,0,7,,
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",Sheltered and Unsheltered Count,2017,502,84,34,384,162,338,2,0,399,103,378,98,3,8,3,12,55,0,6,49,18,36,1,0,48,7,49,3,0,3,0,0,,
MA-509,Cambridge CoC,Sheltered and Unsheltered Count,2017,463,74,45,344,160,301,2,0,369,94,258,172,7,8,2,16,67,0,2,65,19,48,0,0,58,9,49,18,0,0,0,0,,
MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County CoC",Sheltered and Unsheltered Count,2017,1059,429,86,544,558,501,0,0,834,225,559,474,10,3,2,11,50,0,1,49,13,37,0,0,21,29,41,7,0,1,0,1,,
MA-515,Fall River CoC,Sheltered and Unsheltered Count,2017,278,141,13,124,161,117,0,0,199,79,145,107,0,0,0,26,19,0,1,18,3,16,0,0,18,1,18,0,0,0,1,0,,
MA-516,Massachusetts Balance of State CoC,Sheltered and Unsheltered Count,2017,3377,1521,292,1564,1868,1501,6,2,2054,1323,2147,994,68,11,16,141,250,0,10,240,48,202,0,0,186,64,219,23,0,4,0,4,,
MA-519,"Attleboro, Taunton/Bristol County CoC",Sheltered and Unsheltered Count,2017,198,99,11,88,105,92,0,1,167,31,105,75,0,2,4,12,36,0,6,30,9,25,0,2,32,4,26,9,0,0,0,1,,
MD-501,Baltimore CoC,Sheltered and Unsheltered Count,2017,2123,327,83,1713,623,1497,3,0,2047,76,449,1613,8,11,2,40,546,2,27,517,127,418,1,0,529,17,155,358,0,8,1,24,,
MD-503,Annapolis/Anne Arundel County CoC,Sheltered and Unsheltered Count,2017,263,76,17,170,117,146,0,0,253,10,111,134,1,1,1,15,113,0,6,107,28,84,1,0,108,5,70,33,1,1,0,8,,
MD-504,Howard County CoC,Sheltered and Unsheltered Count,2017,115,43,4,68,54,61,0,0,102,13,32,71,1,0,0,11,53,5,3,45,14,39,0,0,45,8,23,27,0,2,0,1,,
MD-505,Baltimore County CoC,Sheltered and Unsheltered Count,2017,389,132,31,226,181,207,1,0,379,10,93,289,0,3,0,4,220,3,10,207,66,154,0,0,217,3,128,80,0,7,0,5,,
MD-506,Carroll County CoC,Sheltered and Unsheltered Count,2017,125,22,10,93,56,69,0,0,119,6,99,18,0,0,0,8,22,0,2,20,8,14,0,0,20,2,19,1,0,1,1,0,,
MD-511,Mid-Shore Regional CoC,Sheltered and Unsheltered Count,2017,136,41,13,82,60,76,0,0,134,2,51,71,1,2,0,11,17,4,1,12,8,9,0,0,17,0,12,5,0,0,0,0,,
MD-513,"Wicomico, Somerset, Worcester Counties CoC",Sheltered and Unsheltered Count,2017,218,31,10,177,92,126,0,0,212,6,97,111,0,1,1,8,42,0,1,41,9,33,0,0,42,0,27,14,0,0,0,1,,
MD-514,Maryland Balance of State CoC,,2017,942,229,54,659,381,558,3,0,912,30,527,354,5,9,4,43,504,73,50,381,206,296,2,0,489,15,296,185,1,3,0,19,,
MD-600,Prince George's County CoC,Sheltered and Unsheltered Count,2017,437,204,42,191,249,186,0,2,427,10,20,399,6,0,4,8,88,7,3,78,22,66,0,0,64,24,25,45,1,1,6,10,,
MD-601,Montgomery County CoC,Sheltered and Unsheltered Count,2017,763,169,47,547,395,367,1,0,621,142,204,461,13,3,1,81,131,2,8,121,31,99,0,1,105,26,41,72,2,1,1,14,,
ME-500,Maine Statewide CoC,Sheltered and Unsheltered Count,2017,2100,534,163,1403,964,1120,12,4,2017,83,1725,250,5,33,8,79,180,56,28,96,74,106,0,0,175,5,128,34,6,5,2,5,,
MI-500,Michigan Balance of State CoC,Sheltered and Unsheltered Count,2017,1307,459,136,712,667,635,5,0,1246,61,1015,192,2,40,0,58,242,29,31,182,94,148,0,0,233,9,200,32,0,3,0,7,,
MI-501,Detroit CoC,Sheltered and Unsheltered Count,2017,1858,360,184,1314,655,1202,1,0,1838,20,121,1707,2,1,0,27,220,3,8,209,59,160,1,0,214,6,39,175,0,4,0,2,,
MI-502,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",Sheltered and Unsheltered Count,2017,212,101,9,102,109,103,0,0,210,2,76,126,0,5,0,5,14,0,0,14,2,12,0,0,14,0,13,1,0,0,0,0,,
MI-503,"St. Clair Shores, Warren/Macomb County CoC",Sheltered and Unsheltered Count,2017,290,52,14,224,94,196,0,0,288,2,138,134,1,2,0,15,64,0,3,61,14,50,0,0,60,4,41,18,0,1,0,4,,
MI-504,"Pontiac, Royal Oak/Oakland County CoC",Sheltered and Unsheltered Count,2017,365,92,42,231,172,192,1,0,354,11,103,244,2,2,0,14,47,0,6,41,8,39,0,0,46,1,20,27,0,0,0,0,,
MI-505,Flint/Genesee County CoC,Sheltered and Unsheltered Count,2017,295,105,34,156,124,170,1,0,279,16,68,211,0,1,1,14,125,12,8,105,46,78,0,1,124,1,34,82,0,1,0,8,,
MI-506,"Grand Rapids, Wyoming/Kent County CoC",Sheltered and Unsheltered Count,2017,851,207,62,582,325,524,2,0,749,102,359,430,7,14,0,41,61,4,7,50,19,42,0,0,57,4,31,24,0,0,0,6,,
MI-507,"Portage, Kalamazoo City & County CoC",Sheltered and Unsheltered Count,2017,451,164,41,246,195,256,0,0,425,26,131,280,1,8,1,30,28,0,3,25,2,26,0,0,28,0,13,15,0,0,0,0,,
MI-508,"Lansing, East Lansing/Ingham County CoC",Sheltered and Unsheltered Count,2017,390,113,17,260,183,207,0,0,340,50,151,200,2,2,0,35,45,3,0,42,7,38,0,0,42,3,28,14,0,1,0,2,,
MI-509,Washtenaw County CoC,Sheltered and Unsheltered Count,2017,262,38,25,199,86,175,1,0,251,11,84,152,2,3,1,20,40,1,2,37,2,38,0,0,38,2,22,17,0,0,0,1,,
MI-510,Saginaw City & County CoC,Sheltered and Unsheltered Count,2017,373,147,39,187,174,198,1,0,333,40,119,244,0,1,0,9,15,3,0,12,5,10,0,0,15,0,7,8,0,0,0,0,,
MI-511,Lenawee County CoC,Sheltered and Unsheltered Count,2017,128,45,10,73,65,63,0,0,117,11,90,20,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",Sheltered and Unsheltered Count,2017,188,39,12,137,73,115,0,0,177,11,162,3,0,12,1,10,40,2,2,36,14,26,0,0,40,0,33,1,0,5,1,0,,
MI-514,Battle Creek/Calhoun County CoC,Sheltered and Unsheltered Count,2017,175,38,9,128,51,124,0,0,168,7,86,79,1,1,0,8,29,3,2,24,13,16,0,0,29,0,22,6,0,0,0,1,,
MI-515,Monroe City & County CoC,Sheltered and Unsheltered Count,2017,190,50,14,126,99,91,0,0,179,11,122,61,0,0,0,7,3,0,0,3,1,2,0,0,3,0,3,0,0,0,0,0,,
MI-516,"Norton Shores, Muskegon City & County CoC",Sheltered and Unsheltered Count,2017,125,29,12,84,49,76,0,0,124,1,53,67,1,1,0,3,10,0,2,8,2,8,0,0,10,0,6,2,0,0,0,2,,
MI-517,Jackson City & County CoC,Sheltered and Unsheltered Count,2017,126,54,7,65,86,40,0,0,122,4,61,50,0,0,0,15,14,4,0,10,2,12,0,0,13,1,11,1,0,0,0,2,,
MI-518,Livingston County CoC,Sheltered and Unsheltered Count,2017,91,25,13,53,41,50,0,0,89,2,84,3,0,0,0,4,12,2,1,9,6,6,0,0,12,0,12,0,0,0,0,0,,
MI-519,Holland/Ottawa County CoC,Sheltered and Unsheltered Count,2017,250,96,17,137,118,132,0,0,190,60,170,59,1,2,0,18,8,0,1,7,2,6,0,0,6,2,6,2,0,0,0,0,,
MI-523,Eaton County CoC,Sheltered and Unsheltered Count,2017,101,59,8,34,58,43,0,0,85,16,88,5,0,0,0,8,6,1,1,4,1,5,0,0,6,0,4,1,0,0,0,1,,
MN-500,Minneapolis/Hennepin County CoC,Sheltered and Unsheltered Count,2017,2759,1174,309,1276,1331,1418,9,1,2570,189,462,1700,46,330,5,216,298,2,22,274,73,223,0,2,283,15,72,172,1,42,1,10,,
MN-501,Saint Paul/Ramsey County CoC,Sheltered and Unsheltered Count,2017,1272,370,155,747,533,738,1,0,1145,127,393,683,31,51,0,114,166,6,21,139,43,123,0,0,155,11,53,61,17,22,2,11,,
MN-502,Rochester/Southeast Minnesota CoC,Sheltered and Unsheltered Count,2017,495,192,146,157,308,185,2,0,432,63,268,184,5,9,0,29,57,0,9,48,22,35,0,0,56,1,37,17,0,2,0,1,,
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",Sheltered and Unsheltered Count,2017,434,162,52,220,227,205,1,1,390,44,244,135,4,11,1,39,110,22,16,72,48,61,0,1,102,8,65,30,1,8,0,6,,
MN-504,Northeast Minnesota CoC,Sheltered and Unsheltered Count,2017,58,15,19,24,28,30,0,0,57,1,48,4,0,4,0,2,41,6,1,34,13,28,0,0,38,3,34,0,0,6,0,1,,
MN-505,St. Cloud/Central Minnesota CoC,Sheltered and Unsheltered Count,2017,633,244,111,278,366,266,1,0,610,23,240,104,0,256,2,31,229,19,52,158,73,155,1,0,224,5,187,26,1,13,1,1,,
MN-506,Northwest Minnesota CoC,Sheltered and Unsheltered Count,2017,285,131,55,99,162,123,0,0,274,11,106,30,1,128,0,20,3,0,1,2,2,1,0,0,3,0,2,1,0,0,0,0,,
MN-508,Moorhead/West Central Minnesota CoC,Sheltered and Unsheltered Count,2017,212,67,27,118,111,101,0,0,187,25,115,37,0,37,4,19,3,0,0,3,0,3,0,0,3,0,2,1,0,0,0,0,,
MN-509,Duluth/St.Louis County CoC,Sheltered and Unsheltered Count,2017,312,125,49,138,158,152,2,0,307,5,151,81,2,43,0,35,193,10,35,148,64,129,0,0,192,1,131,12,1,42,0,7,,
MN-511,Southwest Minnesota CoC,Sheltered and Unsheltered Count,2017,100,42,22,36,53,47,0,0,69,31,72,17,0,10,0,1,8,3,1,4,2,6,0,0,7,1,3,1,0,4,0,0,,
MO-500,St. Louis County CoC,Sheltered and Unsheltered Count,2017,418,152,158,108,244,173,1,0,401,17,61,328,1,2,0,26,44,0,12,32,14,29,1,0,44,0,10,31,0,0,0,3,,
MO-501,St.Louis City CoC,Sheltered and Unsheltered Count,2017,1194,342,126,726,531,657,6,0,1175,19,232,925,6,4,1,26,142,0,8,134,26,116,0,0,137,5,41,99,0,0,0,2,,
MO-503,"St. Charles City & County, Lincoln, Warren Counties CoC",Sheltered and Unsheltered Count,2017,351,139,52,160,209,140,2,0,331,20,218,110,1,0,0,22,227,38,18,171,88,138,1,0,215,12,181,32,0,0,0,14,,
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",Sheltered and Unsheltered Count,2017,255,75,16,164,180,75,0,0,246,9,192,42,1,5,2,13,200,2,26,172,59,138,1,2,196,4,172,11,0,6,2,9,,
MO-602,"Joplin/Jasper, Newton Counties CoC",Sheltered and Unsheltered Count,2017,229,48,4,177,81,148,0,0,218,11,171,29,0,6,2,21,41,1,2,38,6,35,0,0,41,0,32,3,0,5,0,1,,
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",Sheltered and Unsheltered Count,2017,192,64,8,120,93,99,0,0,178,14,149,32,1,1,0,9,18,0,1,17,6,12,0,0,18,0,17,0,0,1,0,0,,
MO-604a,"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS",Sheltered and Unsheltered Count,2017,1442,367,128,947,623,815,2,2,1308,134,631,660,9,27,4,111,229,4,9,216,57,166,1,5,217,12,122,66,0,16,0,25,,
MO-606,Missouri Balance of State CoC,Sheltered and Unsheltered Count,2017,952,279,79,594,526,423,3,0,910,42,667,241,4,6,0,34,292,58,16,218,118,174,0,0,281,11,245,36,0,1,0,10,,
MP-500,Northern Mariana Islands CoC,Sheltered and Unsheltered Count,2017,24,10,0,14,8,16,0,0,24,0,0,0,16,0,8,0,648,175,68,405,306,342,0,0,647,1,0,0,143,0,505,0,,
MS-500,"Jackson/Rankin, Madison Counties CoC",Sheltered and Unsheltered Count,2017,231,51,0,180,128,97,0,6,231,0,78,150,0,0,0,3,280,0,0,280,59,220,1,0,280,0,100,180,0,0,0,0,,
MS-501,Mississippi Balance of State CoC,Sheltered and Unsheltered Count,2017,451,129,30,292,197,254,0,0,446,5,185,252,0,12,0,2,246,25,21,200,82,163,0,1,243,3,74,167,0,4,0,1,,
MS-503,Gulf Port/Gulf Coast Regional CoC,Sheltered and Unsheltered Count,2017,71,28,0,43,43,28,0,0,70,1,49,19,0,3,0,0,193,19,9,165,64,129,0,0,191,2,125,43,4,10,0,11,,
MT-500,Montana Statewide CoC,Sheltered and Unsheltered Count,2017,985,220,80,685,414,566,3,2,899,86,663,20,4,201,4,93,544,120,44,380,210,332,1,1,509,35,329,13,0,153,5,44,,
NC-500,Winston-Salem/Forsyth County CoC,Sheltered and Unsheltered Count,2017,428,59,26,343,123,305,0,0,409,19,124,282,0,3,4,15,25,0,2,23,4,21,0,0,23,2,8,14,0,1,0,2,,
NC-501,Asheville/Buncombe County CoC,Sheltered and Unsheltered Count,2017,457,38,16,403,122,335,0,0,447,10,280,157,2,2,1,15,105,5,9,91,23,82,0,0,102,3,77,13,4,1,0,10,,
NC-502,Durham City & County CoC,Sheltered and Unsheltered Count,2017,294,65,20,209,101,191,2,0,290,4,50,234,0,1,0,9,60,0,7,53,14,46,0,0,55,5,22,35,0,0,0,3,,
NC-503,North Carolina Balance of State CoC,Sheltered and Unsheltered Count,2017,2102,593,138,1371,960,1140,2,0,2005,97,1021,866,9,86,3,117,952,139,69,744,340,608,0,4,889,63,599,273,3,34,0,43,,
NC-504,"Greensboro, High Point CoC",Sheltered and Unsheltered Count,2017,469,121,25,323,182,286,1,0,451,18,118,325,3,2,1,20,104,0,2,102,28,76,0,0,103,1,49,47,0,7,1,0,,
NC-505,Charlotte/Mecklenberg CoC,Sheltered and Unsheltered Count,2017,1261,308,84,869,613,647,1,0,1210,51,190,1007,5,12,3,44,215,2,18,195,31,182,1,1,206,9,72,130,1,6,0,6,,
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",Sheltered and Unsheltered Count,2017,235,46,9,180,100,135,0,0,220,15,128,82,0,3,0,22,87,1,1,85,13,73,0,1,87,0,65,17,0,0,0,5,,
NC-507,Raleigh/Wake County CoC,Sheltered and Unsheltered Count,2017,696,190,47,459,269,427,0,0,646,50,156,488,8,4,1,39,188,8,11,169,47,140,1,0,176,12,68,95,0,8,0,17,,
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",Sheltered and Unsheltered Count,2017,171,44,18,109,83,88,0,0,158,13,85,70,0,3,0,13,78,11,5,62,36,42,0,0,76,2,55,19,0,0,0,4,,
NC-511,Fayetteville/Cumberland County CoC,Sheltered and Unsheltered Count,2017,189,89,5,95,113,76,0,0,182,7,31,132,0,9,1,16,253,16,5,232,77,175,1,0,183,70,76,160,0,7,2,8,,
NC-513,Chapel Hill/Orange County CoC,Sheltered and Unsheltered Count,2017,90,18,5,67,30,60,0,0,87,3,22,61,1,0,0,6,37,0,1,36,6,31,0,0,35,2,20,14,0,0,0,3,,
NC-516,Northwest North Carolina CoC,Sheltered and Unsheltered Count,2017,119,24,12,83,57,62,0,0,109,10,111,4,1,1,0,2,347,106,36,205,195,152,0,0,295,52,318,28,0,0,0,1,,
ND-500,North Dakota Statewide CoC,Sheltered and Unsheltered Count,2017,758,86,62,610,156,600,2,0,724,34,257,73,4,85,0,339,331,92,22,217,116,211,0,4,322,9,110,54,2,141,0,24,,
NE-500,Nebraska Balance of State CoC,Sheltered and Unsheltered Count,2017,492,140,66,286,237,255,0,0,430,62,408,39,2,27,0,16,14,0,1,13,4,10,0,0,14,0,12,2,0,0,0,0,,
NE-501,"Omaha, Council Bluffs CoC",Sheltered and Unsheltered Count,2017,1332,204,91,1037,403,928,1,0,1207,125,849,366,13,53,3,48,57,0,9,48,13,44,0,0,48,9,33,15,1,5,0,3,,
NE-502,Lincoln CoC,Sheltered and Unsheltered Count,2017,557,157,55,345,245,311,1,0,489,68,326,150,4,31,1,45,49,0,3,46,16,32,1,0,49,0,36,7,0,6,0,0,,
NH-500,New Hampshire Balance of State CoC,Sheltered and Unsheltered Count,2017,657,181,48,428,313,339,3,2,615,42,581,26,4,1,0,45,110,14,11,85,40,70,0,0,110,0,101,2,1,2,0,4,,
NH-501,Manchester CoC,Sheltered and Unsheltered Count,2017,342,108,36,198,172,170,0,0,288,54,279,31,5,1,0,26,52,5,8,39,13,39,0,0,50,2,44,2,0,1,0,5,,
NH-502,Nashua/Hillsborough County CoC,Sheltered and Unsheltered Count,2017,283,81,23,179,103,180,0,0,245,38,249,16,1,0,0,17,12,0,0,12,5,7,0,0,12,0,12,0,0,0,0,0,,
NJ-500,Atlantic City & County CoC,Sheltered and Unsheltered Count,2017,313,25,34,254,99,214,0,0,265,48,158,139,6,2,1,7,109,0,1,108,25,84,0,0,98,11,54,50,0,2,1,2,,
NJ-501,Bergen County CoC,Sheltered and Unsheltered Count,2017,297,84,31,182,158,139,0,0,224,73,161,111,16,4,0,5,5,0,0,5,1,4,0,0,3,2,4,1,0,0,0,0,,
NJ-502,Burlington County CoC,Sheltered and Unsheltered Count,2017,560,168,52,340,283,274,1,2,505,55,233,300,1,5,10,11,44,1,1,42,17,27,0,0,35,9,25,16,0,0,1,2,,
NJ-503,"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",Sheltered and Unsheltered Count,2017,811,190,63,558,315,496,0,0,692,119,372,397,3,13,6,20,127,0,4,123,26,101,0,0,92,35,62,56,2,1,1,5,,
NJ-504,Newark/Essex County CoC,Sheltered and Unsheltered Count,2017,1620,473,202,945,719,894,7,0,1334,286,336,1236,2,28,8,10,428,4,20,404,97,330,1,0,349,79,85,328,3,7,2,3,,
NJ-506,"Jersey City, Bayonne/Hudson County CoC",Sheltered and Unsheltered Count,2017,638,93,35,510,214,423,1,0,382,256,318,299,4,6,4,7,184,0,15,169,40,144,0,0,130,54,80,97,4,2,1,0,,
NJ-507,New Brunswick/Middlesex County CoC,Sheltered and Unsheltered Count,2017,421,146,41,234,192,229,0,0,287,134,201,203,7,0,0,10,125,0,8,117,32,91,2,0,78,47,74,45,2,4,0,0,,
NJ-508,Monmouth County CoC,Sheltered and Unsheltered Count,2017,255,99,16,140,121,133,1,0,210,45,107,107,4,1,0,36,44,0,6,38,13,31,0,0,34,10,28,16,0,0,0,0,,
NJ-509,Morris County CoC,Sheltered and Unsheltered Count,2017,351,91,27,233,144,207,0,0,294,57,189,123,6,4,0,29,27,0,0,27,7,20,0,0,26,1,22,4,0,1,0,0,,
